50
,,,,7,,82,,,,52,32,91,8,,,,77,93,31,,,73,,45,96,89,,78,40,67,,,99,,,91,71,26,32,87,14,17,,74,17,12,,,60
,,94,48,59,91,91,20,,,,99,17,,,26,,,78,,,,,92,15,,7,,11,70,56,5,70,82,,75,65,15,,,,9,,,,91,10,,11,80
,80,83,,,59,,62,15,,3,,,0,,,,7,,69,97,,,24,,33,88,94,84,24,,25,,74,59,68,,2,32,93,,69,,,,78,0,45,56,74
39,,,95,,43,14,,,,93,65,,58,19,,,,15,,81,,,16,54,,17,,,,,20,21,,,68,37,42,,87,,85,,96,92,34,70,,,2
41,,33,,,86,,,,,75,55,,,90,,14,96,,49,,57,90,,,,,91,,,,77,,34,87,,,,64,,,95,74,54,27,,,87,,36
2,20,1,87,11,75,,57,,48,,,3,,,,,95,,36,33,,53,96,42,,,67,70,16,0,34,,,,96,,81,14,,,,,,,,14,82,53,48
,8,60,,,42,,52,0,27,31,,,,,,,33,69,,,,,66,40,,77,46,67,3,,,89,42,,7,,25,,,,,87,,3,,34,,,21
,34,80,47,,78,5,39,97,77,,,31,67,,85,72,,,28,31,,15,13,54,,,,,75,55,,,35,,,36,66,,73,30,48,,,59,,94,,,66
,,31,,,98,,20,38,92,,,,,20,,91,86,75,80,,43,87,,44,,,79,,9,,,,76,,4,,,,18,16,32,,,,59,,,70,
23,,97,5,,,,83,,66,,,71,54,,44,7,,77,81,33,,,,,,,94,48,,,,9,88,15,23,,,,5,,,98,,30,,77,,6,10
39,82,74,,,30,,,,19,23,1,58,19,75,,7,,,66,9,,,,32,,80,,20,,,,,,47,,48,,,,,63,,46,,95,,,,12
,86,34,54,25,38,77,,80,,,,33,72,87,46,21,,,38,4,,49,70,,,,,32,57,,64,,,62,,,4,3,,23,79,,,58,,,14,,
79,,,,,,,54,,8,82,82,23,74,14,84,,,68,84,83,77,35,,66,1,,,54,76,86,87,16,81,,,92,,,,2,23,98,,0,,34,46,15,
,13,54,74,,26,,,71,,,30,,,,,,,,,,49,,,,,,,31,18,,,,86,,31,,73,,34,86,,,,,47,,81,,
9,,,56,,37,,,25,26,42,91,,68,65,91,,56,,,81,,95,90,,,80,,,28,,92,22,,41,25,83,8,,82,63,,,,,,,,,0
40,95,43,,19,,,97,,,,,,,91,86,,76,13,,,22,42,,85,,,36,,17,,,,48,,27,23,,77,,32,,,31,77,,43,,,
,64,20,21,27,,23,28,62,12,,,,83,,,37,,,,71,,0,,47,,,60,27,,19,65,,,,,40,52,,,,,,81,21,,55,21,55,86
,,,,90,99,,35,81,,,4,,55,,1,38,,,,,71,9,,,11,,32,2,,,,3,3,,75,92,95,37,,51,,94,8,,31,,,69,
