70
84,,,88,59,,,,,,,,78,67,,,,58,,,60,,,72,73,,85,2,,58,,80,99,71,40,69,,52,70,40,,61,,89,,,23,68,41,86,43,17,18,56,35,,92,94,80,12,,,,34,,8,,32,75,
,,98,,83,63,36,,21,93,,,32,,,,,,4,56,,18,,,,7,,75,51,,30,51,,,,,,40,60,,73,57,,70,,99,,97,20,,31,57,40,23,48,,,78,,99,43,0,,94,,,0,98,,
78,,,,,,,87,,,50,24,21,14,32,,78,,11,,,,35,,,,,,79,,,80,,59,49,,94,21,,,49,,2,14,,21,,9,33,24,,44,,83,,,,50,,,84,36,,,3,,40,26,45,10
96,,28,,,,,3,,,,,,74,,8,58,80,,,7,,70,,20,35,21,46,,,,,15,71,,98,,2,59,,,52,12,,,34,,,,55,43,13,,,93,37,88,,,,15,94,91,,,1,,97,36,39
38,,,,,,,,8,,,69,2,,23,23,,,19,,93,56,,,86,43,,,,,,,39,,,39,56,38,90,,98,25,11,,60,29,,,29,,26,,1,1,,30,37,81,17,74,50,19,,,,18,,22,64,14
23,,25,8,,35,71,,,31,,,,,,,54,,,,,,,,,68,,,12,,26,,,38,,50,61,25,87,,8,25,45,72,37,,96,,,91,,84,53,72,,83,,65,,,,,7,,,74,65,94,75,70
79,,42,,27,65,,89,68,,,,46,,53,64,,,,80,36,,83,,76,,,,29,38,,,98,,,31,73,25,22,29,,,,,,92,,,,,61,90,96,36,44,14,,93,,20,,,46,3,,67,,,,82
,94,,,,14,,9,30,,85,55,,87,,,,77,32,33,,37,,,,,21,16,,37,,,,87,31,,17,,53,60,23,,46,,,40,35,35,0,,,,78,,,24,20,,,2,,,16,99,,,,62,80,27
6,76,,,93,,74,65,,,60,,,,65,43,,,40,,,,,,88,,97,10,55,92,14,,,,,78,,,74,,65,19,83,0,,55,5,43,39,,41,34,47,50,,94,66,,72,2,,,,,76,,0,92,23,64
94,86,,,73,,,51,80,69,,,33,87,90,,,47,,,43,53,,40,,60,,,,,,61,58,,,66,,,,,48,,94,,35,32,71,,35,,,,,98,,19,45,,40,24,5,53,52,67,,,,31,,
58,,,20,,62,,18,18,47,,,,3,44,12,,59,,88,41,76,4,,99,85,55,29,41,,,,96,,48,,,66,,30,96,82,,,71,,99,,,,51,,,,74,59,95,,,,,,,,6,81,,30,69,23
96,,,26,,,95,,,10,15,40,98,78,,,53,,,72,48,,,32,87,,,,,14,,62,2,47,87,,,59,,,78,,99,42,,,46,,,,,,74,20,86,,,,,46,2,,66,,,44,,,99,65
78,5,,71,,40,58,,,51,,42,,,,,,91,15,,52,97,,,76,,,98,1,99,76,57,,,77,73,25,,,2,84,,72,15,,,,42,45,,,,89,,,28,,88,,6,93,,42,33,43,,17,64,,90
,,35,,,97,23,47,,34,97,96,,84,66,,66,59,0,1,84,65,,86,28,5,,,,31,65,71,3,,73,56,,,55,10,,53,,,63,,,,74,,,20,21,50,71,0,47,,,,1,,,66,,58,,,,
,,73,8,81,,,,,,,0,23,,,28,78,2,,,48,18,,,,,,81,,,99,28,,27,11,93,65,82,63,,,,70,0,34,,0,,54,,47,,87,77,,63,,,77,59,,45,,96,94,19,8,,16,34
62,68,,,43,98,72,81,72,40,,20,,,52,,,,62,84,43,80,,68,,70,,74,24,6,8,92,50,,70,,89,17,96,,,,49,,23,,69,,24,,55,32,,97,,,,,,53,67,17,,,85,59,12,,55,8
,,,,35,33,28,87,,42,73,,,,,21,,,51,,3,51,87,86,,,,,,3,,,,11,,16,44,,,,,47,,,79,71,55,,,50,,,15,,,10,86,,20,84,,,64,53,,,80,,54,10
57,23,94,,62,,36,90,,,,,79,53,84,66,93,95,38,,,72,72,,,,97,,68,,17,,21,44,,,6,,55,93,,99,,,28,,85,,,,,,,70,,,,,82,68,19,5,35,44,,75,,98,,4
,,46,58,,85,78,36,,,35,8,67,,,,,60,,,,,,57,,91,20,,,,,47,3,86,37,,30,18,18,17,,60,14,,65,,90,,72,,,46,74,15,65,53,,91,88,,,46,,,,,,,,
,,,22,34,38,5,,15,90,,48,,,20,75,,8,,,,16,,,76,66,,71,,93,51,,,,16,85,20,,99,61,,,,65,67,79,,58,,45,67,60,91,,,,,89,,,,51,,,,15,55,84,,
,,,,,74,82,,53,,,,64,,71,58,5,,,63,77,67,,,,2,,,,,,,21,,63,36,54,,,,55,,35,,,,,,50,57,,0,,,,61,73,,18,60,61,22,,55,1,,48,9,88,48
,19,,92,12,36,29,66,,,49,,5,32,,15,90,95,30,,37,36,,22,20,,,,,,,,5,52,,70,,99,1,67,,96,,46,96,,,,98,,,1,84,66,,,,67,,21,44,,,,50,42,76,,25,32
,,20,96,5,,96,38,,14,,,,7,,34,,,35,6,,26,72,,42,,15,,50,24,99,,67,5,88,35,,55,92,98,21,,,62,,,,88,,,94,,34,,,,,13,,8,,,66,98,,29,,,30,63
83,,30,,43,,,,85,,,,,,30,68,77,,,,,,59,20,54,,,,,85,,,,,48,94,,,6,69,,,71,13,28,,,,,78,8,,,,30,4,6,,,55,50,86,,,80,,21,88,,55
82,75,5,85,21,18,,35,,10,95,71,,20,,,,43,40,,66,45,79,97,,11,21,11,67,,,,,,,,10,16,,16,,62,99,98,43,96,,18,37,25,39,38,48,51,,,54,70,,50,,9,58,84,,,,38,,27
,,39,,,5,89,,,,14,92,36,37,15,,33,82,,9,,,,67,,94,15,,6,,,89,,,,,63,,,,,,10,,,,,74,,31,,22,57,,,,34,62,,,,70,,8,45,83,,19,88,
,,71,58,,75,22,,51,,,,57,,,97,71,58,49,,77,,61,49,,61,11,,90,46,,,34,89,58,,,54,38,81,52,,,44,,95,53,,,93,90,,,,,90,62,,,,5,,,77,62,,64,37,91,
78,56,,,,,99,,74,,,,,,69,,,,14,67,,59,97,,,,,63,,,,,,,,60,,,,92,31,,,59,,99,5,22,,,,,50,86,80,,,93,,36,58,94,54,,75,,,30,67,54
,76,4,,35,36,23,86,69,15,,,,43,,54,42,,67,63,39,40,,37,,19,57,,,,73,,,,84,,39,24,50,,,98,35,,,,69,95,6,24,81,,78,48,,45,19,,96,45,,37,,73,3,80,,,3,55
,88,81,47,,92,,,40,14,,,8,,16,,,26,,62,,,,23,,,68,55,25,,20,64,5,,,60,25,,41,60,,0,89,,99,,58,44,32,,,,,50,88,91,93,,,24,,84,63,,,12,,19,,80
,,92,,73,16,14,,,,70,83,2,,75,61,98,,58,,66,,87,,45,,68,,17,57,2,9,8,49,52,86,,,84,59,,22,,,56,,,,52,,,90,,58,7,,,,,74,94,,31,29,23,,74,,15,
,5,46,82,,50,,14,,53,23,,29,58,12,13,30,,76,8,30,,,50,,,,1,95,,49,21,,,14,,,,8,56,53,,,,3,37,,84,,95,,24,85,50,,49,,90,,,83,89,,,,48,48,,59,
7,99,,,,,,,4,53,,51,81,83,,,,,,82,21,23,,65,,43,,,34,,34,,49,76,,51,17,,,65,,76,,63,7,59,49,49,,,,,,,,22,62,,,39,,19,18,45,,,,94,,
,3,48,,,60,,,8,13,67,,,,67,,26,53,,57,21,2,77,,,54,75,31,,23,33,,30,,,77,,,,92,95,42,60,,98,,53,,53,,56,38,16,92,,,78,,1,20,,9,,,,42,5,36,,
19,0,98,13,5,47,,,29,34,33,55,25,27,44,,69,,,15,,,,9,94,98,4,,34,77,38,,,51,,,,10,,46,94,,,,,5,92,,,,,5,,7,11,94,95,,,,,92,,,,,38,,25,39
30,,63,93,,,62,,74,,,59,99,,57,33,,,44,,81,83,,96,61,,17,77,87,41,,18,,,,,,50,,,,,62,3,15,78,,67,,,37,0,,8,9,76,,,64,,,73,,,,,64,,,
,62,88,19,58,,,62,17,61,52,3,,,,,,,50,34,21,,,,,,0,,,63,,94,,99,,72,,42,,88,,,64,,,,55,,3,32,65,,11,47,,,50,73,17,99,,34,37,54,,,58,,51,
8,17,,36,1,,18,92,34,,,,49,28,58,11,16,,,,8,97,,,82,,20,,,,,62,26,,76,87,64,,33,22,74,17,,22,,,,,,,,31,,,,,,98,36,,57,,,,,32,97,55,,25
32,,,59,16,86,32,,41,18,15,28,67,13,,,,55,42,,,27,45,13,,,,22,95,4,,14,91,,52,44,22,95,2,,,64,2,87,,45,64,,,50,,,,20,57,,,43,,,43,37,30,,,,,,62,2
,76,24,90,90,52,49,91,,,35,,,31,59,,93,40,,29,89,27,,,92,,53,82,,59,,,91,19,,75,90,48,,18,,,,,72,,16,53,34,,,,92,15,,,,12,,63,,75,24,,,,10,,2,58
