80
45,,97,81,,,,68,,21,,,74,,0,,,,26,9,,88,,,84,42,83,39,,,48,73,23,,10,98,76,78,20,59,73,50,91,16,,,,,82,51,81,,,8,91,,90,,6,48,,6,,,,,,64,,,10,77,,31,,52,,,95,
,65,,26,58,,95,,,,49,48,60,6,,,,,59,,64,,46,68,73,,,19,,,47,79,,71,,,,,22,99,30,,9,,,,1,17,,,,39,39,80,40,,45,,12,,,,97,47,77,,64,48,32,,44,,,,,,91,71,46,
,17,50,93,57,74,24,17,,,69,,75,,,54,45,47,76,2,42,70,,93,,,,39,,,52,86,,,30,68,59,,,,59,,22,,,,35,,,,1,,,41,48,,2,7,,86,24,83,,15,,,,87,75,,,60,85,4,,34,1,,40,
,51,,,84,,25,,43,29,19,,,16,7,,79,,,,,,,,,,,26,9,,84,56,,,,92,47,,56,,,,,,75,78,,28,72,85,47,,91,,11,72,52,13,,93,,,10,,,69,22,92,39,62,15,51,40,73,64,7,,45,65,
,41,95,,52,51,,78,,,,,49,42,,,31,,9,,,,59,90,91,33,35,,24,,,,,36,11,40,86,69,69,,,,0,,,82,59,,61,21,,,,,,62,6,,,17,,,57,59,43,8,,,,,,13,,0,,62,26,50,,24
,,9,,16,,71,27,21,,4,2,,,,53,25,,,,,15,,,,64,,,3,,,,65,,,,48,90,,,81,39,,16,,97,95,,48,,6,,,34,,90,,28,27,10,46,,66,99,,97,57,62,63,,26,,,,,,,46,86,
60,,55,93,45,80,88,95,,,28,1,32,,,15,89,,71,28,5,69,83,,48,,,93,,,,69,18,78,,95,94,,,,86,35,,80,7,75,39,,,4,,52,,,,74,44,,4,,,30,,,11,,63,35,,54,60,57,,43,,53,,66,40,18
,,,45,,,,81,,96,,99,25,,,,,,,48,,,,77,,74,19,46,34,,,,49,,,,,6,,,59,46,96,,,,94,58,50,,,82,44,56,,21,37,,54,97,31,26,,,,81,,96,94,80,,14,59,,36,,30,,,
83,84,95,,6,,85,86,59,51,,98,,,,8,,,80,22,23,,58,,,,,,,60,65,28,66,,41,,,77,,,54,71,33,,,38,60,38,,,87,,24,,41,,90,89,33,,,87,26,15,,,,,,,66,43,,,,42,,47,,65
28,,73,22,39,,,,,,,,55,,86,97,,71,,,93,,25,,75,,45,,,22,,,,,,5,48,32,75,88,81,,,,64,,,,,56,23,79,,51,,,22,41,21,,75,57,,63,79,21,17,,99,,,0,1,,,14,,,,
72,,,,18,93,,,89,,72,,76,,,,3,,,23,,59,,35,,45,,,61,,,39,,6,60,,32,86,98,31,,,,32,11,,,,,,,64,,44,,75,67,82,,18,,,70,,6,99,,62,,7,,8,,40,50,,71,37,,73
17,,69,,41,,98,,58,,,66,,,13,,11,89,,89,,,,,,74,63,,49,69,,26,,95,50,,9,97,69,,92,,,,,58,,,,,,,,9,80,,77,,,,,,81,93,,,88,7,,,,44,,6,,,,99,65,42
,0,,59,,16,,,,26,,,38,83,3,40,,72,,56,,,63,8,,,,,2,,44,83,,58,89,,,,27,,4,97,,52,,,,73,77,57,,59,96,30,20,32,,,14,54,2,3,,74,,42,,,,28,,,41,2,52,56,,46,,
20,3,5,5,86,6,,73,91,,17,59,,19,16,,44,53,,,15,,54,8,3,82,,,,,30,96,,55,,0,,,,55,30,3,75,,24,,,11,81,,,74,12,53,92,84,17,61,,69,59,76,,23,,29,,31,57,,25,5,12,,,86,,30,9,
,,,,,,,,83,41,63,,,,,,16,,5,,46,,35,11,73,,,58,7,34,85,39,38,,28,19,,,,65,15,,,42,36,,20,54,30,86,,,83,66,,,25,66,40,,,,13,,,,36,12,,,,2,94,,23,12,,,76,80
,,30,29,,68,,47,57,55,94,,18,79,2,12,,34,,,,23,,,,,,94,,,,,96,56,40,,,22,84,77,12,,41,,66,,34,48,62,,,37,,80,93,,,53,87,66,,,41,72,85,82,,11,,74,,,,11,77,,74,49,,
91,,,43,,74,26,23,,56,,,,,,80,57,,21,,,43,28,20,22,,,66,73,2,57,55,77,95,,9,29,,92,52,,14,93,,,87,47,,38,15,45,,,,73,34,,,,,,,,77,,39,,,,,,23,63,62,97,,,3,,
,,11,83,79,68,,22,97,,75,45,6,,46,,,,45,,,97,,,,42,21,,,,,6,69,17,,95,,29,,,72,9,0,7,,15,24,32,,,38,,6,12,38,,,,94,,29,61,,73,62,31,,,45,,63,,,57,,84,,,,
96,75,,,17,,,,74,,,53,15,,65,,83,53,,83,,,81,74,65,,,46,,37,33,20,22,65,,52,,,4,,41,89,,27,10,,,58,37,,,,36,,82,49,14,87,,70,91,,,33,,,59,,61,,36,10,,,,,,83,,81
,,92,14,42,64,,6,,99,,6,,,,,13,4,,95,,70,,,,,98,,15,25,,,74,27,51,72,,,,,,,80,48,36,,38,90,53,,,,,91,65,25,,56,68,21,57,,87,,43,,18,,,,,,,,11,47,,,22,59
5,,,9,,,79,,,,23,,82,,,31,,,,,98,,18,53,,51,94,24,,10,76,,,,,,6,9,,67,,,55,,,,92,,,,94,,,,13,32,6,,,,,,,,82,40,,,18,64,,45,79,,,,48,66,52,2
,,43,,,88,24,54,38,65,,35,,17,,,,97,,,21,,29,58,80,,,,51,,67,85,20,,,11,,86,38,,62,,41,,,55,,,,,,5,,,16,,,0,,51,38,,98,,54,,,74,,,73,,,,58,,90,34,53,64
,,,,71,,71,37,83,,,,,,40,,,84,69,,,30,14,,16,72,,,,,,8,90,,42,34,,,25,,,,37,69,,53,,,,,53,13,56,,,,47,71,14,99,99,13,18,95,14,,99,87,24,35,83,,,,97,16,90,73,87,
73,,90,,74,25,58,,8,56,96,,,,,3,,,,,,49,,38,31,82,35,33,70,,20,,,27,,,28,,60,63,81,,,5,,97,,,,,,50,26,89,22,,,54,,64,,44,58,17,,,,88,15,,54,,,,70,38,74,96,77,59
,,,43,,1,,10,82,56,,,,37,98,80,,37,17,78,,,,60,,,,,20,,,78,12,80,,,64,67,74,78,,41,64,,53,,63,56,2,,66,0,,37,,76,,26,11,84,27,48,,89,,59,86,,14,78,,47,11,35,,,51,,,67
68,73,92,2,92,87,,52,31,44,27,,92,,9,,,5,,,,23,98,82,,10,44,,98,,,64,,57,,65,76,,,79,,,,3,,66,,,,,55,41,10,,,,12,,,,49,75,92,,,73,41,53,53,,,,17,,,67,,,,44
,,,,32,,,,25,21,,,,,,,10,47,,19,97,78,,,83,8,88,,68,81,,,,,44,35,52,,21,78,37,58,,,,59,83,,61,45,,,82,57,60,41,,80,,,,,70,9,2,,78,,51,,,,,,,45,,,46,85
,18,70,,97,24,,27,,,,53,,42,51,58,59,,,,21,9,18,13,1,,53,,,,,,41,,88,66,4,69,46,30,,,67,,84,,61,56,37,,,78,37,89,,,,,18,,,79,,45,,,43,46,10,,27,41,,62,,91,,,,
74,,,97,22,,29,,,,32,21,78,30,,,,39,,15,53,61,63,50,27,,71,2,,0,88,38,15,9,,,25,,,70,,60,,,94,64,57,58,1,31,,4,31,,,,,,23,,24,,37,56,84,35,37,59,87,,,30,,27,,,7,,13,
,19,86,,73,,1,14,47,,,9,49,12,71,,24,,,18,66,38,,,24,56,1,12,,22,,57,,,10,4,16,31,,86,4,4,,24,,,15,,53,80,14,44,32,,,,37,27,,,,,,45,,,16,,29,52,,,,,30,73,,36,12,
29,,,,,,,54,,1,,,,41,56,,,81,19,66,46,,53,,,90,,,72,88,7,,,13,42,,9,80,,,,49,,,83,16,68,44,77,,32,,42,,,,,51,,,,19,38,,92,,94,90,,,56,,80,40,,,32,35,,72
87,,,35,11,81,78,,9,79,0,,,60,,,53,,,,,,,,,0,41,,64,16,91,36,67,,,,,72,,47,85,,51,,92,,44,,,,33,70,23,,31,83,,36,93,6,44,,,,16,37,,19,,,30,,51,,,,16,26,97,82
,50,57,9,,96,61,,93,8,,,,,90,,,,64,43,,55,,20,,,6,67,75,,20,4,,,57,48,59,,,29,,,,,,,97,39,,,,58,29,74,71,,81,,82,53,27,,66,,,96,33,89,,3,14,45,,16,,75,57,12,,93
75,58,,77,25,77,59,,35,48,30,34,35,12,45,92,38,87,,77,70,,53,,97,,58,99,80,42,4,70,24,,,83,85,,32,,,40,77,,42,14,4,70,,,,38,62,,16,,,4,77,,,,,,,,,,75,,,,56,,60,75,46,,72,
,,,,,,,91,,31,,,,,70,,34,78,43,61,3,16,,,,34,0,49,,9,98,94,,,4,,31,47,52,90,12,4,38,40,94,,46,,,24,4,,67,34,,,,,,,22,,82,48,73,37,32,46,,4,17,,,70,,95,,,,15
,51,95,18,,,40,,,,,,79,28,,22,4,,,,,62,0,,97,34,74,58,,,,,81,46,,,,,86,4,,,3,38,33,,,,83,52,,,48,61,1,20,,74,,,,,5,46,36,18,,10,19,,12,21,,75,,,76,,26,32
70,51,,55,56,39,96,,7,5,74,79,,95,51,5,,17,88,16,,51,34,15,,,25,,,,,70,,,,16,,,31,,86,,22,76,77,,60,,,,80,,,,32,63,29,,29,,28,71,54,,,70,18,,75,,,14,,90,54,,,,,14
99,55,73,95,85,,,94,69,7,17,,,,44,,,,40,29,,,,,26,,66,,,,,61,,53,18,78,20,36,34,88,,77,1,0,,,,99,23,58,73,30,85,82,74,,,79,59,63,4,,,34,,23,31,27,57,58,,,,,70,39,,60,,59
,17,7,46,,,,,50,74,25,,,,,7,,6,73,,,51,,,88,,,,,38,,97,20,,,,,97,8,,,52,,50,,26,71,12,17,,,,90,,,,57,81,,93,5,71,,65,,,31,15,21,,,82,27,54,,67,22,15,,54
,,59,48,23,,84,,,,,,18,,86,,0,,75,37,51,28,,,23,76,,,,64,78,25,90,,,,,26,,51,16,10,53,2,1,,,,85,,,19,55,,53,71,,,36,25,,97,69,,,,,19,,86,26,69,63,,9,61,46,14,,
45,4,,,,38,,7,65,,40,,,,,42,18,69,5,,85,,11,,81,83,7,,,,,97,95,,,47,,,22,,,57,,,5,6,19,30,12,21,90,,63,,,83,,88,,,26,,,68,36,75,,26,,49,42,,24,,,69,11,99,,73
,79,,,,,,,85,6,90,98,,65,,,25,,,23,86,13,,,73,77,,89,6,,66,55,82,61,65,,31,,,,,,88,,,,,92,,,93,0,9,92,33,,13,,,,,,70,44,,57,,3,,94,90,15,80,99,,,,,35,93
,,,41,95,20,58,,24,,41,,,,,,,,61,,36,50,,,75,51,,,,70,76,,,,67,,88,,12,92,,68,7,,53,,54,37,,56,55,60,94,0,,,20,98,62,,,51,15,99,29,83,44,65,43,,,4,,,26,13,,,0,53
7,73,79,,57,93,56,47,,76,,,67,33,,,,28,,38,69,,67,18,,,,,9,26,,,,29,29,28,36,,,68,,,66,0,80,62,50,71,,27,,59,,,,,86,66,86,,13,75,91,,87,41,,,,,12,,61,54,,35,79,22,,
,32,,,9,11,71,34,,,72,95,,81,,22,,36,27,4,,37,,,97,,68,60,,34,,,,,64,95,62,90,66,29,,47,22,,78,,,26,,,0,,,83,47,,,82,,48,,16,,94,,,51,,1,31,,1,,,,,34,,49,
6,23,,95,91,85,,68,,6,,30,,,35,91,,,56,,49,15,,,99,,13,,,43,25,55,46,,,73,58,4,,66,,18,,,,44,97,3,,61,,,45,95,,,,,91,74,,,75,,29,99,,,,,,16,66,,,37,,77,65,
26,79,99,32,,28,55,87,,16,18,86,41,42,,,,,,,76,,,17,,,4,,55,,18,,,4,,,,,,28,93,59,20,,,34,62,,,47,74,,44,60,30,1,45,84,,,52,,,,,56,56,27,63,,,,,,,,,97,,62
,,,50,,6,61,,,58,,,77,45,,36,44,81,,9,7,,98,7,85,,,,,,,,,6,39,44,,47,74,,4,87,84,13,,,28,,37,,,8,38,,36,45,52,99,98,,37,,71,69,,,,,,,45,57,57,65,,,,,,
,56,37,,25,,,,,88,6,,0,,37,,,42,,95,,,75,99,41,31,64,,,,,5,,,30,80,,12,,,62,68,,6,30,90,,45,66,,11,,,97,42,,21,,83,30,,,,44,,8,,77,75,89,,,,36,48,24,93,,77,94
,73,,96,40,,,,76,10,71,,1,,,67,78,,55,14,64,,67,,80,,70,,94,86,,,26,,0,,,1,,27,99,,3,,,79,,,32,80,,33,,77,,,61,,60,82,93,,67,85,92,95,19,,67,,86,,50,94,14,,,73,68,93
48,37,,,19,,2,,,95,49,33,,39,83,,48,,85,48,92,67,31,36,,,30,,,30,,98,,,,65,30,,4,,,32,,,,10,,,,,,1,88,48,13,,,26,,,16,70,,32,,,,49,,51,,,87,66,,,,82,,31
89,49,70,99,26,,76,,86,66,,,16,,,86,39,33,28,31,,75,,88,,3,40,68,90,95,,88,89,86,,67,85,10,89,,44,,51,,63,17,,,89,21,,13,,47,23,70,29,,11,46,84,57,,80,,,,,98,,,,60,,40,19,,,4,
21,,68,,53,,68,21,,,,,,,,,,,,68,8,,89,,,,,,,40,92,92,,,,67,72,,63,,11,,,51,,9,88,,,,17,33,,91,28,73,39,33,18,,,,,,93,,54,53,45,48,,,,81,81,,53,,2,44
,37,23,,,44,26,84,,,11,,10,,1,,,,59,,65,,,53,,73,,49,,2,,,17,,,34,,,,,,53,50,77,,,,49,,,,83,43,,,,48,7,13,,72,47,,,2,46,,,27,91,,51,78,,40,,,,,
,,55,,51,,13,,,89,40,20,63,,38,,,,,,42,,87,,89,61,88,99,,,,64,86,78,5,,39,,,29,,37,57,29,,71,43,21,33,11,37,,,45,,39,,,72,69,,52,,,,6,70,,30,85,,,,,76,92,16,44,90,
,89,,,,,43,87,,,90,,32,,83,15,34,24,37,50,47,,,,77,61,28,8,,2,,76,97,,,83,39,,,,,,,,,,,3,,85,,14,,86,,57,70,,,48,81,,,52,,5,15,35,,,67,,14,98,36,14,66,58,77,68
41,58,,,,,65,31,33,17,25,,6,56,19,46,85,,,31,65,,,70,,,,22,,,18,,44,32,,34,,0,87,99,,69,43,22,93,75,4,61,,,,56,,2,,4,,,,,,23,,,11,,,8,,,,,,85,68,91,21,22,,
20,27,41,,,,,,24,,,11,,,,55,68,18,,,,93,37,,14,76,,26,69,36,1,18,,,19,,8,,33,96,,21,97,1,74,,,,,,96,,79,,,23,83,,,76,,37,86,23,32,70,25,98,27,90,0,,49,36,,,,,36,
,82,,2,18,,,,,29,57,,22,,,67,,,,,88,,94,,43,,81,,56,3,,54,57,94,41,,,,10,,,,,97,79,,24,99,,,,75,18,6,,,37,,78,,,75,,,91,87,,,,54,44,30,,,79,,32,,69,
,0,65,90,,93,36,,,39,,,33,,,29,99,18,15,,66,59,82,36,66,,49,62,64,93,17,95,,50,,58,,,,19,,,30,31,,80,,,,86,97,43,,20,60,70,,,47,,,43,,,,,3,30,,,89,,75,,90,1,98,,24,
,57,,39,,,,,,,,81,47,74,,32,33,87,,48,42,3,,57,,,39,29,,11,42,,93,,,,,,82,4,,46,11,,83,9,98,8,,,86,53,99,96,,,,85,84,37,,42,,28,44,,,,20,29,,,60,27,,,,,40,
6,10,85,,,,79,9,,54,15,,,9,,70,,84,,1,,,53,,6,,35,93,,49,3,,44,70,43,,8,92,,,12,,,,78,11,48,3,,,,86,66,41,,11,41,,,20,7,86,71,51,44,83,4,37,20,,53,49,,,49,87,15,53,67,
